publisher	Nombre	Votos	Promedio
publisher	Bayerwald Spiele	3	7.666666666666667
publisher	Bello Games New York, Inc.	3	7
publisher	Bello Games New York, Inc.	4	7.25
publisher	Bergsala Enigma	11	7.2727272727272725
publisher	Bergsala Enigma	35	7.257142857142857
publisher	Bergsala Enigma	35	7.257142857142857
publisher	Bergsala Enigma	44	7.2727272727272725
publisher	Bergsala Enigma	50	7.18
publisher	Bergsala Enigma	9	7.222222222222222
publisher	Berwick's Toy Co. Ltd.	3	7.666666666666667
publisher	Bezier Games, Inc.	3	8.333333333333334
publisher	Bezier Games, Inc.	3	8.333333333333334
publisher	Big League Promotions Corp.	3	7.666666666666667
publisher	Black Book Editions	3	8.666666666666666
publisher	Black Book Editions	3	8.666666666666666
publisher	Black Monk	3	6.666666666666667
publisher	Black Monk	3	6.666666666666667
publisher	Black Monk	7	5.714285714285714
publisher	Black Monk	7	5.714285714285714
publisher	Black Monk	9	6.111111111111111
publisher	Black Monk	9	6.111111111111111
publisher	Blatz	3	7.666666666666667
publisher	BoardM Factory	3	6
publisher	BoardM Factory	3	6
publisher	BoardM Factory	5	6.8
publisher	BoardM Factory	6	7.166666666666667
publisher	Borras Plana S.A.	6	4.166666666666667
publisher	Borras Plana S.A.	6	4.166666666666667
publisher	Borras Plana S.A.	9	5
publisher	Borras Plana S.A.	9	5
publisher	Brain Games	42	7.5
publisher	Brain Games	43	7.534883720930233
publisher	Brain Games	51	7.392156862745098
publisher	Brain Games	56	7.339285714285714
publisher	Brain Games	8	8.125
publisher	Brain Games	9	8
publisher	CHH Games	4	7.75
publisher	CHH Games	6	7.666666666666667
publisher	Capcom	7	8
publisher	Capcom	7	8
publisher	Capcom	8	7.875
publisher	Capcom	9	7.555555555555555
publisher	Cappelen	3	7.666666666666667
publisher	Cappelen	3	7.666666666666667
publisher	Cappelen	3	7.666666666666667
publisher	Cappelen	3	7.666666666666667
publisher	Cardinal	3	7
publisher	Cardinal	3	7
publisher	Cardinal	5	7
publisher	Cardinal	7	7.142857142857143
publisher	Carlit	3	4.333333333333333
publisher	Carlit	3	4.333333333333333
publisher	Carlit	3	4.333333333333333
publisher	Carlit	3	4.333333333333333
publisher	Cayro Juegos	4	7.75
publisher	Cayro Juegos	6	7.666666666666667
publisher	Chad Valley	4	7.5
publisher	Character Games LTD	3	7.666666666666667
publisher	Chupa Chups	3	7.666666666666667
publisher	Clipper	4	4
publisher	Clipper	4	4
publisher	Clipper	5	4.2
publisher	Clipper	5	4.2
publisher	Coca-Cola	4	7.25
publisher	Coca-Cola	5	7.4
publisher	Cocktail Games	10	6.4
publisher	Cocktail Games	5	5.4
publisher	Cocktail Games	5	5.4
publisher	Cocktail Games	8	5.875
publisher	Compaya.hu - Gamer Café Kft.	15	7.666666666666667
publisher	Compaya.hu - Gamer Café Kft.	16	7.75
publisher	Compaya.hu - Gamer Café Kft.	19	7.842105263157895
publisher	Compaya.hu - Gamer Café Kft.	21	7.666666666666667
publisher	Competo / Marektoy	21	7.285714285714286
publisher	Competo / Marektoy	22	7.318181818181818
publisher	Competo / Marektoy	28	7.178571428571429
publisher	Competo / Marektoy	3	8.333333333333334
publisher	Competo / Marektoy	3	8.333333333333334
publisher	Competo / Marektoy	31	7.161290322580645
publisher	Copag - Cia. Paulista de Artes Gráficas	3	6
publisher	Copag - Cia. Paulista de Artes Gráficas	3	6
publisher	Copag - Cia. Paulista de Artes Gráficas	4	6
publisher	Copag - Cia. Paulista de Artes Gráficas	4	6
publisher	Corfix	12	6.75
publisher	Corfix	12	6.75
publisher	Corfix	13	6.769230769230769
publisher	Corfix	15	7
publisher	Cranio Creations	6	7.833333333333333
publisher	Cranio Creations	6	7.833333333333333
publisher	Cranio Creations	9	7.666666666666667
publisher	Cranio Creations	9	7.666666666666667
publisher	Creative Crafthouse	3	6.666666666666667
publisher	Creative Crafthouse	3	6.666666666666667
publisher	Creative Crafthouse	6	7
publisher	Creative Crafthouse	8	7.125
publisher	Creative Educational Aids Pvt. Ltd.	3	7.666666666666667
publisher	Crisloid	4	7.75
publisher	Crisloid	6	7.666666666666667
publisher	Crómola	10	7.7
publisher	Crómola	8	7.875
publisher	Crómola	8	7.875
publisher	Crómola	8	7.875
publisher	Czech Games Edition	10	6.4
publisher	Czech Games Edition	10	6.4
publisher	Czech Games Edition	9	6.222222222222222
publisher	Czech Games Edition	9	6.222222222222222
publisher	Dal Negro	10	6.4
publisher	Dal Negro	10	6.4
publisher	Dal Negro	15	6.6
publisher	Dal Negro	18	6.722222222222222
publisher	Damm / Egmont	4	4
publisher	Damm / Egmont	4	4
publisher	Damm / Egmont	5	4.2
publisher	Damm / Egmont	5	4.2
publisher	Days of Wonder	16	6.75
publisher	Days of Wonder	18	6.944444444444445
publisher	Days of Wonder	23	7
publisher	Days of Wonder	27	7.074074074074074
publisher	De La Rue	4	7.5
publisher	Delta Vision Publishing	21	6.904761904761905
publisher	Delta Vision Publishing	22	6.954545454545454
publisher	Delta Vision Publishing	27	7.111111111111111
publisher	Delta Vision Publishing	27	7.111111111111111
publisher	Delta Vision Publishing	3	7.666666666666667
publisher	Delta Vision Publishing	8	7.875
publisher	Delta Vision Publishing	9	7.777777777777778
publisher	Descartes Editeur	12	7.5
publisher	Descartes Editeur	12	7.5
publisher	Descartes Editeur	17	7.470588235294118
publisher	Descartes Editeur	18	7.333333333333333
publisher	Deuce	3	7.666666666666667
publisher	Devir	109	7.036697247706422
publisher	Devir	125	7.024
publisher	Devir	19	7.526315789473684
publisher	Devir	24	7.625
publisher	Devir	5	7.6
publisher	Devir	6	7.833333333333333
publisher	Devir	84	6.964285714285714
publisher	Devir	90	7.0777777777777775
publisher	Dilemma Games	4	7.75
publisher	Dilemma Games	6	7.666666666666667
publisher	Don & Co.	8	10
publisher	Dr. Wood Challenge Centre	11	6.7272727272727275
publisher	Dr. Wood Challenge Centre	6	6.5
publisher	Dr. Wood Challenge Centre	6	6.5
publisher	Dr. Wood Challenge Centre	9	6.666666666666667
publisher	DreamWorks	3	7.666666666666667
publisher	Ducale	3	6.666666666666667
publisher	Ducale	3	6.666666666666667
publisher	Dujardin	4	7.25
publisher	Dujardin	5	7
publisher	Dujardin	6	7.5
publisher	Dujardin	6	7.5
publisher	Dust Games	4	7.5
publisher	Dust Games	4	7.5
publisher	Dust Games	4	7.5
publisher	Dust Games	4	7.5
publisher	Dynamic Games / Dynamic Design Industries	4	7.75
publisher	Dynamic Games / Dynamic Design Industries	5	7.8
publisher	E L & M Productions	4	8
publisher	E L & M Productions	4	8
publisher	E L & M Productions	6	7.666666666666667
publisher	E L & M Productions	6	7.666666666666667
