game owned	Gorkamorka	1
game owned	Grand Tribunal	1
game owned	Guillotine	1
game owned	Haggis	1
game owned	Hanabi	2
game owned	Hannibal: Rome vs. Carthage	1
game owned	Hansa Teutonica	3
game owned	Hex Hex Next	1
game owned	Hive	2
game owned	Hive: The Ladybug	1
game owned	Hive: The Mosquito	1
game owned	Humans!!!	1
game owned	IOTA	2
game owned	IceDice	1
game owned	IceTowers	1
game owned	Illuminati:  Deluxe Edition	3
game owned	Imperios Milenarios	3
game owned	In the Year of the Dragon	1
game owned	Infiltration	1
game owned	Ingenious: Travel Edition	1
game owned	Innovation	1
game owned	Isla Dorada	2
game owned	JAB: Realtime Boxing	1
game owned	Jaipur	1
game owned	Jungle Speed	1
game owned	Jungle Speed: Rabbids	1
game owned	Keltis	1
game owned	Keltis: Der Weg der Steine Mitbringspiel	1
game owned	Kemet	1
game owned	King of Tokyo	6
game owned	King of Tokyo: Power Up!	1
game owned	Kingsburg	1
game owned	Kingsburg: To Forge a Realm	1
game owned	LED: Lógica – Estrategia – Deducción	3
game owned	La Boca	1
game owned	Lancaster	1
game owned	Lancaster: Henry V – The Power of the King	1
game owned	Lancaster: The New Laws	1
game owned	Last Night on Earth: Growing Hunger	1
game owned	Last Night on Earth: The Zombie Game	3
game owned	Le Havre	1
game owned	Letter of Marque	2
game owned	Letters from Whitechapel	1
game owned	Libertalia	1
game owned	Lock 'n Load: A Ring of Hills	1
game owned	Loot	1
game owned	Lord of the Rings	3
game owned	Lords of Waterdeep	3
game owned	Lords of Waterdeep: Scoundrels of Skullport	1
game owned	Lost Cities	1
game owned	Lost Patrol	1
game owned	Love Letter	2
game owned	Madeira	1
game owned	Mage Knight Board Game	1
game owned	Mage Wars	1
game owned	Mahjong	1
game owned	Masques	2
game owned	Memoir '44	2
game owned	Memoir '44: Pacific Theater	1
game owned	Men Are from Mars, Women Are from Venus	1
game owned	Merchants & Marauders	2
game owned	Metro	1
game owned	Meuterer	2
game owned	Mice and Mystics	1
game owned	Mille Bornes	1
game owned	Mines of the Sacred Dragon	1
game owned	Mob Ties: The Board Game	1
game owned	Monkey Lab	1
game owned	Monopoly Deal Card Game	1
game owned	Monopoly: The Simpsons	1
game owned	Mordheim: City of the Damned	1
game owned	Movies	1
game owned	Mr. Jack Pocket	4
game owned	Munchkin	5
game owned	Munchkin Cthulhu	1
game owned	Mystery Rummy: Jack the Ripper	1
game owned	Mythos	1
game owned	Necromunda	2
game owned	Nexus Ops	1
game owned	Notre Dame	1
game owned	Okko: Era of the Asagiri	2
game owned	Olympus	1
game owned	Onirim	1
game owned	Ora et Labora	1
game owned	Pandemic	4
game owned	Pandemic: On the Brink	1
game owned	Panzer Saint-Lo 1944	2
game owned	Pastiche	1
game owned	Pathfinder Adventure Card Game: Rise of the Runelords – Base Set	2
game owned	Pictionary	1
game owned	Pinguïn Party	1
game owned	Poker	1
game owned	Portobello Market	1
game owned	Power Grid	2
game owned	Power Grid: The First Sparks	1
game owned	Power Grid: The New Power Plant Cards	1
game owned	Puerto Rico	5
game owned	Puzzle Me!	1
game owned	PÜNCT	1
game owned	Race for the Galaxy	2
game owned	Red November	4
game owned	Red Storm Rising	1
game owned	Revolution!	1
game owned	Rex: Final Days of an Empire	3
game owned	RoboRally	1
game owned	Rock the Beat	1
game owned	Roll Through the Ages: The Bronze Age	1
game owned	Roma	1
game owned	Rummikub	1
game owned	Rune Age	2
game owned	Runewars	2
game owned	Russian Railroads	1
